1,25
1,31
1,32
2,5
2,18
2,30
3,1
3,8
3,10
4,5
4,11
4,19
5,1
5,4
5,8
6,4
6,15
6,29
7,14
7,18
7,24
8,5
8,11
8,23
9,4
9,6
9,7
10,4
10,8
10,11
11,14
11,15
11,16
12,2
12,4
12,6
13,14
13,16
13,23
14,10
14,13
14,20
15,1
15,9
15,17
16,4
16,11
16,19
17,1
17,5
17,8
18,2
18,6
18,11
19,14
19,17
19,20
20,5
20,18
20,27
21,7
21,12
21,22
22,6
22,11
22,13
23,15
23,26
23,28
24,10
24,15
24,31
25,14
25,15
25,32
26,5
26,18
26,26
27,4
27,9
27,20
28,3
28,14
28,26
29,7
29,9
29,22
30,1
30,6
30,21
31,5
31,11
31,20
32,4
32,9
32,20
33,3
33,13
33,30
